labbridge_path,external_path,status,source_kind,source_id,assertion_origin,value_state,semantic_review,semantic_review_note,loss_reason,note
observation.data_origin + observation.execution_mode,/resources/0/metadata/echemdb/figureDescription/type,lossy,assertion,assertion:a91aa52a5777178fcfdfb9faa42bb865,user_supplied,known,fixture_declaration,Project-owned synthetic fixture projection; not a source-declared classification.,EchemDB figureDescription.type cannot represent LabBridge data_origin and execution_mode as independent dimensions.,An explicit user assertion supplies the external projection; the companion manifest preserves both LabBridge dimensions.
observation.environment_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.execution_mode,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.import_profile_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.metadata,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.metadata.contact_area,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.metadata.current_basis,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.metadata.cycle_information,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.metadata.electrode_role,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.metadata.geometric_area,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.metadata.potential_treatment,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.metadata.reference_scale,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.metadata.scan_rate,,omitted,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,unknown,not_applicable,,,Unknown or unsupported metadata is not exported.
observation.normalisation_version,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.observation_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.parser_record_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.parser_version,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.provenance,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.row_count,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.schema_version,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].dtype,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].role,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].schema_version,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].series_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].shape,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].source_column,/resources/0/schema/fields/*/name,mapped,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Copied without numeric conversion or semantic reinterpretation.
observation.series[].source_unit,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].transformation_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.series[].unit,/resources/0/schema/fields/*/unit,mapped,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Copied without numeric conversion or semantic reinterpretation.
observation.series[].values,/resources/0/data/rows/*,mapped,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Copied without numeric conversion or semantic reinterpretation.
observation.source_artifact_id,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
observation.transformation_ids,,companion,observation,cv-observation:f88ccc6e9ad289c674d8f3ba4b9bcc20,,,not_applicable,,,Retained in the LabBridge companion manifest; no lossless EchemDB field exists.
